Discovery Date, File Name, IP Address, Country Code, ASN, ASN Name, MD5
2012-12-27,,210{.}112{.}10{.}185,KR,9848,GNGAS Enterprise Networks,84ee30ccb73080e27b2c776632bd92a5
2012-12-27,storagenl.info/v402/index.html?affiliate_id=eb4,108{.}162{.}194{.}69,US,13335,"CLOUDFLARENET - CloudFlare, Inc.",d0dd2a837e3c31bf67da384f87ef8aca
2012-12-27,flashplayerindir.net/AdobeFlashPlayer.exe,94{.}102{.}48{.}101,NL,29073,"ECATEL-AS AS29073, Ecatel Network",9a0c9531d2084273a65ebfb3c2d79d52
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia01.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,2f83cdeaaacf92021b1b4b9d94cfdcef
2012-12-27,handelspartner-neuruppin.de/DRRBUTY.exe,81{.}169{.}145{.}72,DE,6724,STRATO STRATO AG,dd61a3978a3453f3acff2ba4314220a4
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia04.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,985b00875a3fe007b1b8498444c0d227
2012-12-27,jonoobsong.com/modules/sms/klicck.exe,5{.}104{.}107{.}122,DE,24961,FIBREONE-AS myLoc managed IT AG,471d6b65638b57404caadca36ac4d375
2012-12-27,82.48.139.108/newbos2.exe,82{.}48{.}139{.}108,IT,3269,ASN-IBSNAZ Telecom Italia S.p.a.,705624a730cf9373197735333ce4a15e
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia05.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,aa662beaf8af3c87c4e97450e1048f89
2012-12-27,ld.download-guru.com/index.html?s=3d3d3dwgaremover,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,45d12b13cf98259a894deecea783b5c0
2012-12-27,absolutefitnessuk.co.uk/wp-content/uploads/true.exe,91{.}103{.}216{.}39,GB,29550,SIMPLYTRANSIT Simply Transit Ltd,370f5ab7286b51dc4ae7cf1e1e704d92
2012-12-27,,184{.}82{.}27{.}171,US,21788,NOC - Network Operations Center Inc.,b313a9947024971cf617b8f3d3ef9813
2012-12-27,ld.download-guru.com/index.html?s=Majoe &&%2F%2F%2F,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,8c0decf90c945da2bd388eeceefb5fd4
2012-12-27,atkoskih.ru/newbos2.exe,77{.}88{.}148{.}160,PL,43939,INTERNETIA_ETTH2-AS Internetia Sp.z o.o.,02d5726ddf16ff8e14ede124d7ce1b74
2012-12-27,wt3.97sky.cn/documentsrescuepro.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,869b15b24091b98c984fd1aea79dbcc0
2012-12-27,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,a48e9430ac72249e1382a13c71746b97
2012-12-27,betulerisgen.com/i5tAJk.exe,176{.}53{.}20{.}85,TR,42926,RADORE Radore Hosting Telekomunikasyon Hizmetleri San. ve Tic. Ltd. Sti.,38b95901a86c05928f2cc2d5b2013396
2012-12-27,www.carnesviba.com/ja/images/te.exe,200{.}57{.}133{.}2,MX,19373,"Triara.com, S.A. de C.V.",62f2e325524308e23490d8abc61526af
2012-12-27,www.institutoargentinoliverpool.com/0kUrUUfS.exe,209{.}41{.}74{.}196,US,13951,"CENTER-SEVEN - C7 Data Centers, Inc.",38b95901a86c05928f2cc2d5b2013396
2012-12-27,,184{.}82{.}27{.}171,US,21788,NOC - Network Operations Center Inc.,b313a9947024971cf617b8f3d3ef9813
2012-12-27,carlahahn.de/jqYnYs8B.exe,82{.}165{.}87{.}2,DE,8560,ONEANDONE-AS 1&1 Internet AG,acfd966f0fb6c5a945826bbfaf5dffee
2012-12-27,zempakiv.ru/newbos2.exe,111{.}240{.}33{.}124,TW,3462,HINET Data Communication Business Group,02d5726ddf16ff8e14ede124d7ce1b74
2012-12-27,,23{.}23{.}130{.}85,US,14618,"AMAZON-AES - Amazon.com, Inc.",f2e76ca4ffc7a6b0a0fce55abe991f64
2012-12-27,cesivpil.ru/newbos1.exe?abawai,46{.}250{.}113{.}121,UA,39608,LANETUA-AS Lanet Network Ltd.,7faee5466fcbd8596ca45ec06195c82a
2012-12-27,,208{.}93{.}141{.}190,US,46281,COTEN-ASN - Cotendo Inc.,915179a9bbdc7b3c6ba3533c4ae9c434
2012-12-27,narzoquc.ru/keybex3.exe,85{.}253{.}46{.}44,EE,13272,STARMAN Starman AS,23d52de990de738cfbe7eb4fd29a2479
2012-12-27,dlfr.pctuto.com/download/pctuto_1011.exe,46{.}105{.}174{.}27,FR,16276,OVH OVH Systems,3c07d4db52e25e7fb66f7314650bfda7
2012-12-27,s.winggo.co.kr/tabsync/tabsyncu.exe,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,b80dfa6b25282bc175474d7f9af3ecd7
2012-12-27,,210{.}112{.}3{.}92,KR,9848,GNGAS Enterprise Networks,85ea047efbfe1b352032fc3b4dc62590
2012-12-27,storagenl.info/v402/index.html?affiliate_id=eb4,108{.}162{.}194{.}69,US,13335,"CLOUDFLARENET - CloudFlare, Inc.",dab8c5b4b217ab26f05b0422a1aafdd5
2012-12-27,flashplayerindir.net/AdobeFlashPlayer.exe,94{.}102{.}48{.}101,NL,29073,"ECATEL-AS AS29073, Ecatel Network",e9c664f7b3ce1a36442631cfae9441f8
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia07.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,3dbcd7ae7ca08ff8ebafbb1cece9bbdd
2012-12-27,,54{.}235{.}251{.}129,US,14618,"AMAZON-AES - Amazon.com, Inc.",a83926d19886e99eb418306de3b97128
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia08.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,9eb9951472953b475de786377f5697a3
2012-12-27,labs-srl.it/enTyvkm0.exe,85{.}235{.}130{.}57,IT,31034,ARUBA-ASN Aruba S.p.A. - Network,38b95901a86c05928f2cc2d5b2013396
2012-12-27,82.48.139.108/newbos2.exe,82{.}48{.}139{.}108,IT,3269,ASN-IBSNAZ Telecom Italia S.p.a.,caac144b7b301c620d7be3c6526a5ad0
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia09.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,fc531874e4a68a1d88e8e6bf483b1c42
2012-12-27,ld.download-guru.com/index.html?s=So:p%2Fo:p%2Fspan=3D,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,799ea0a73f899ce7466b0873400a6391
2012-12-27,aigen.com.br/itzpFNPM/i9qC.exe,186{.}202{.}153{.}10,BR,27715,LocaWeb Ltda,bf8b0bc0c8e1db52d94719fb01db1765
2012-12-27,veekee.free.fr/petzouille/toutfr-lite.exe,212{.}27{.}63{.}113,FR,12322,PROXAD Free SAS,4c03cd5ba13b24637e70adf2912d3274
2012-12-27,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,4cbda1aec249091619be955840287b54
2012-12-27,atkoskih.ru/newbos2.exe,77{.}88{.}148{.}160,PL,43939,INTERNETIA_ETTH2-AS Internetia Sp.z o.o.,b1c3b3b851c5258667496d8b9123f21a
2012-12-27,wt4.97sky.cn/readink.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,67fd0c68ee28f284ec1118ebe9a10428
2012-12-27,ld2.download-guru.com/index.php?s=K-LiteCodecPackStandard,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,bd4cbf11f33381f20dde3bf84f2dae3b
2012-12-27,carlahahn.de/jqYnYs8B.exe,82{.}165{.}87{.}2,DE,8560,ONEANDONE-AS 1&1 Internet AG,433874250019e295b245191e55ffdf28
2012-12-27,,62{.}149{.}131{.}226,IT,31034,ARUBA-ASN Aruba S.p.A.,babf998e0309944e909c16c8023c8c5d
2012-12-27,,79{.}172{.}252{.}64,HU,29278,DENINET-HU-AS Deninet KFT,7cd89b2a99772045212a24be39d5d2d0
2012-12-27,marketing-mt.de/r4v.exe,88{.}84{.}137{.}154,DE,24989,IXEUROPE-DE-FRANKFURT-ASN Equinix Germany (Previously IX Europe Germany AS),2e0d973f414015668f38646ce9b68850
2012-12-27,cesivpil.ru/newbos1.exe?abawai,46{.}250{.}113{.}121,UA,39608,LANETUA-AS Lanet Network Ltd.,2e599b7f2024b15d5576fd6911f42714
2012-12-27,cesivpil.ru/newbos2.exe?spafo,46{.}250{.}113{.}121,UA,39608,LANETUA-AS Lanet Network Ltd.,b1c3b3b851c5258667496d8b9123f21a
